"id","piping_component","display_seq_no","created_at","updated_at"
1,"BALL VALVE                                                                                         ",140.00,,
2,"BALL VALVE (400F MAX.)                                                                             ",141.00,,
3,"BALL VALVE (METAL SEATED)                                                                          ",142.00,,
4,"BELLOWS- SEAL GATE VALVE                                                                           ",110.00,,
5,"BELLOWS- SEAL GLOBE VALVE                                                                          ",121.00,,
6,"BOLTING                                                                                             ",360.00,,
7,"BRANCH CONN                                                                                         ",280.00,,
8,"BUTTERFLY VALVE                                                                                    ",170.00,,
9,"BUTTERFLY VALVE (FOR C.P. ONLY)                                                                    ",171.00,,
10,"CHECK VALVE                                                                                        ",130.00,,
11,"DIAPHRAGM VALVE                                                                                    ",190.00,,
12,"FIRE HYDRANT                                                                                        ",200.00,,
13,"FITTING                                                                                            ",250.00,,
14,"FLANGE ADAPTOR NIPPLE                                                                               ",263.00,,
15,"FLANGED ADAPTER                                                                                    ",264.00,,
16,"FLANGE                                                                                             ",260.00,,
17,"FLANGE (A/G)                                                                                       ",261.00,,
18,"FLANGE (U/G)                                                                                       ",262.00,,
19,"FLEXIBLE METAL HOSE                                                                                 ",272.00,,
20,"GASKET                                                                                             ",350.00,,
21,"GATE VALVE                                                                                         ",100.00,,
22,"GAUGE SIPHON                                                                                        ",181.00,,
23,"GAUGE VALVE (FOR C.P. ONLY)                                                                        ",180.00,,
24,"GLOBE VALVE                                                                                        ",120.00,,
25,"HOSE VALVE                                                                                         ",210.00,,
26,"INSTRUMENT BUNDLE & TRACER                                                                         ",430.00,,
27,"INSTRUMENT ELECTRIC TRACING BUNDLE                                                                  ",440.00,,
28,"INSTRUMENT STEAM TRACING BUNDLE                                                                     ",435.00,,
29,"JOINT COMPOUND                                                                                      ",390.00,,
30,"JOINT                                                                                              ",400.00,,
31,"JUMP OVER                                                                                          ",420.00,,
32,"KNIFE GATE VALVE                                                                                   ",101.00,,
33,"MECHANICAL JOINT COUPLING                                                                           ",460.00,,
34,"NEEDLE VALVE (FOR C.P. ONLY)                                                                        ",195.00,,
35,"NEEDLE VALVE (MAX. 450F)                                                                            ",196.00,,
36,"NEEDLE VALVE (MAX. 450F)                                                                           ",197.00,,
37,"ORBIT VALVE                                                                                        ",150.00,,
38,"ORBIT VALVE (800F MAX.)                                                                            ",153.00,,
39,"ORBIT VALVE (MAX. 500F)                                                                            ",151.00,,
40,"ORBIT VALVE SEAT (MAX. 500F)                                                                       ",152.00,,
41,"ORIFICE                                                                                             ",271.00,,
42,"ORIFICE FLANGE                                                                                     ",270.00,,
43,"PIPE                                                                                                ",240.00,,
44,"PIPE ADAPTOR NIPPLE                                                                                 ",242.00,,
45,"PIPE FITTING                                                                                       ",251.00,,
46,"PIPE NIPPLE                                                                                        ",241.00,,
47,"PLUG VALVE                                                                                         ",163.00,,
48,"PLUG                                                                                               ",340.00,,
49,"PRESS CONN",300.00,,
50,"SECTION                                                                                             ",-1.00,,
51,"SEWER TIE-IN                                                                                       ",470.00,,
52,"STEAM TRAP                                                                                          ",370.00,,
53,"STOP VALVE                                                                                         ",220.00,,
54,"STOP-CHECK VALVE (NON- RETURN)                                                                     ",221.00,,
55,"SWAGE NIPPLE                                                                                       ",255.00,,
56,"TEMP CONN                                                                                           ",290.00,,
57,"THREE VALVE MANIFOLD (MAX. 450F)                                                                    ",231.00,,
58,"TRANSITION COUPLING                                                                                 ",900.00,,
59,"TUBE FITTING                                                                                       ",610.00,,
60,"TUBING                                                                                              ",600.00,,
61,"TWIN SEAL PLUG VALVE (MAX. 350F)                                                                   ",160.00,,
62,"TWIN SEAL PLUG VALVE FOR MBTE GREATER THAN 12% (MAX. 180F)                                         ",161.00,,
63,"TWIN SEAL PLUG VALVE FOR MTBE GREATER THAN 12% (MAX. 180F)                                         ",162.00,,
64,"TWO VALVE MANIFOLD (MAX. 450F)                                                                      ",230.00,,
65,"UNION                                                                                               ",330.00,,
66,"VENT & DRAIN                                                                                        ",320.00,,
67,"WASHER                                                                                             ",380.00,,
